PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10
209707.70945255685,-16888.587948614477,-18416.415447175263,-1052.791007057553,725.2751757442314,-174.41261275901226,-52.526674625333925,-59.18691540725801,8.502772593009649,9.305405174487987
-97616.77533265357,46257.754340936335,-100.32634121866556,-1880.3225102714202,102.13929585723218,619.0932381762941,-110.77137435522981,13.105150561645644,22.35102745509157,-3.804306561745868
-94469.85468222466,-8787.14175941657,-1039.4853897687678,-1605.6165140592652,-31.118436438515168,-32.910407023039085,-28.513476741985155,-5.306898165911193,3.1296224245492175,-0.785733150631593
-98568.06245096684,-8679.603914764659,-670.3182045208916,-1741.5651712430051,-21.114690509117857,-33.67871777691434,-4.797674454774111,5.126470261457445,-0.026471186925252965,0.5806287706679214
-97532.25329797131,-8706.383154251127,-762.9205916041298,-1550.735242523143,-34.11325860163204,-29.20197708085375,-24.892562193520405,8.036445599237041,-0.0702603332561349,0.3801084837309219
22824.326660859704,-11965.924253287823,875.6571454908229,8918.465252753414,264.24531999736627,-113.57771352141269,52.00645586827383,-8.285975507386317,37.31935044355691,-1.7680149021730713
-94656.21002403562,-8786.571026741965,-493.3210705881679,-1346.644884372046,8.304694946830981,-19.739385990861923,84.34657062319826,17.239411120425387,-3.8370638083714335,-0.0033957456289570587
-90663.70243174443,-8904.782374914383,626.0813142310755,-996.1160814052269,112.84309781852915,-8.230892426158107,-26.560250164605968,11.799406685638466,-3.2710905767861838,1.7351485131364797
-54195.067370936646,-9827.400752043262,-4638.297115853273,6196.488860925957,-619.2072945066835,-208.9916843318572,-57.36679915889802,-9.103911731023828,-0.9501621104544515,-1.371165145394059
-69572.96458799258,-9452.898612437037,-2017.8844241102352,-965.0607146136425,2.6837942404254846,1.5598642574319257,93.38461070202928,27.002353522034888,-0.633932922296129,1.0156318949496708
-96159.90421678995,-8741.991527359214,-885.8349106972196,-1348.219099909779,-47.76078817156675,-25.69573976833282,-30.922664134731747,-8.551601218025578,2.6827413636381747,-1.2016282625546566
-72958.860347318,-9367.732395205117,-771.9401480849873,927.047933144019,35.18628298740053,77.14827802958501,56.961849163464635,11.722698112554639,4.132832490405602,-0.5760215629148817
-88045.23085271339,-8983.261002326957,1510.3544306102012,-588.7573316289124,239.69718933385965,-78.29595886645582,-38.042445751389906,-5.2390666840946505,-1.8000173479055261,-0.7843251570205396
-94463.23815385994,-8810.010872749299,1461.0322685732467,-1225.42155751287,235.8606099056377,-117.55856876900145,-29.845392059633696,-0.2088612576214679,-2.212957416572989,1.6777037318563544
-52709.52354195588,-9925.727443281827,513.647710882744,2674.8939286412124,222.9374065197088,105.46413527905273,47.03379418881998,-15.49391772768724,-11.595420773788792,-2.3611804119634314
-91415.8999412963,-8865.685578426923,-1311.7918101334776,-884.1284733942289,-75.10663397160135,-4.436489935310249,24.83239705909442,8.27594946038857,-5.332410775151695,1.4991312021835554
